# x	y	demand	number of items	-	h	-	w	for each item
40.0	40.0	0.0	0
22.0	22.0	18.0	1	8	4
36.0	26.0	26.0	3	7	6	24	3	16	3
21.0	45.0	11.0	1	13	2
45.0	35.0	30.0	3	6	14	8	9	6	7
55.0	20.0	21.0	1	7	7
33.0	34.0	19.0	4	6	14	5	11	7	5	29	4
50.0	50.0	15.0	4	5	13	16	4	16	3	5	2
55.0	45.0	16.0	2	14	6	13	2				
26.0	59.0	29.0	2	4	11	22	3				
40.0	66.0	26.0	3	5	12	12	7	14	5		
55.0	65.0	37.0	1	27	3						
35.0	51.0	16.0	1	29	4						
62.0	35.0	12.0	1	16	3						
62.0	57.0	31.0	4	14	6	26	4	22	3	10	2
62.0	24.0	8.0	1	6	9						
21.0	36.0	19.0	3	7	10	5	6	25	4		
33.0	44.0	20.0	1	25	3						
9.0	56.0	13.0	3	30	3	24	2	7	2		
62.0	48.0	15.0	1	27	2						
66.0	14.0	22.0	2	15	6	4	6				
44.0	13.0	28.0	4	7	12	4	7	14	5	29	2
26.0	13.0	12.0	3	5	11	13	5	13	2		
11.0	28.0	6.0	2	4	7	13	4				
7.0	43.0	27.0	4	6	13	7	9	13	5	30	4
17.0	64.0	14.0	4	5	11	22	4	9	3	31	2
41.0	46.0	18.0	3	5	6	6	3	10	2		
55.0	34.0	17.0	2	15	4	11	4				
35.0	16.0	29.0	4	6	10	8	5	30	4	26	4
52.0	26.0	13.0	3	8	13	9	7	18	3		
43.0	26.0	22.0	1	14	4						
31.0	76.0	25.0	4	5	9	5	8	22	3	12	3
22.0	53.0	28.0	4	5	6	5	5	7	4	21	3
26.0	29.0	27.0	2	6	8	5	5				
50.0	40.0	19.0	2	4	5	23	2				
55.0	50.0	10.0	1	7	13						
54.0	10.0	12.0	4	7	12	5	11	7	8	24	3
60.0	15.0	14.0	1	7	4						
47.0	66.0	24.0	1	7	9						
30.0	60.0	16.0	4	7	5	20	4	15	3	14	2
30.0	50.0	33.0	3	10	5	7	5	27	4		
12.0	17.0	15.0	2	16	4	10	2				
15.0	14.0	11.0	2	6	7	5	7				
16.0	19.0	18.0	1	7	6						
21.0	48.0	17.0	3	6	7	20	3	15	2		
50.0	30.0	21.0	1	29	3						
51.0	42.0	27.0	1	7	6						
50.0	15.0	19.0	3	7	9	14	8	23	3		
48.0	21.0	20.0	3	5	6	14	3	14	2		
12.0	38.0	5.0	1	8	8						
15.0	56.0	22.0	1	29	3						
29.0	39.0	12.0	2	7	8	28	4				
54.0	38.0	19.0	4	6	12	7	9	4	7	25	4
55.0	57.0	22.0	1	15	2						
67.0	41.0	16.0	1	18	3						
10.0	70.0	7.0	1	23	2						
6.0	25.0	26.0	2	11	6	19	2				
65.0	27.0	14.0	2	4	13	20	3				
40.0	60.0	21.0	4	8	8	7	7	11	4	5	4
70.0	64.0	24.0	2	4	6	4	6				
64.0	4.0	13.0	1	5	4						
36.0	6.0	15.0	3	7	13	9	7	10	4		
30.0	20.0	18.0	3	8	5	12	4	21	2		
20.0	30.0	11.0	2	21	4	4	4				
15.0	5.0	28.0	3	5	12	16	5	30	3		
50.0	70.0	9.0	1	13	4						
57.0	72.0	37.0	4	4	8	14	7	13	6	17	4
45.0	42.0	30.0	1	5	8						
38.0	33.0	10.0	3	8	8	7	7	17	3		
50.0	4.0	8.0	4	14	4	27	3	22	3	25	2
66.0	8.0	11.0	1	15	2						
59.0	5.0	3.0	1	7	6						
35.0	60.0	1.0	2	5	7	12	6				
27.0	24.0	6.0	2	13	8	9	6				
40.0	20.0	10.0	1	8	11						
40.0	37.0	20.0	1	4	9
