#	x	|	y	|	demand	|	numItems	|	l	-	w	(for	each	item)
0.0	-15.0	0.0	0								
-1.0	-14.0	300.0	4	7	7	4	6	29	4	9	3
1.0	-14.0	300.0	1	5	7						
-2.0	-13.0	180.0	2	13	6	14	3				
0.0	-13.0	300.0	4	8	9	5	4	28	3	15	2
2.0	-13.0	180.0	3	5	8	7	6	15	4		
-3.0	-12.0	128.0	1	14	7						
-1.0	-12.0	180.0	2	10	6	6	6				
1.0	-12.0	180.0	1	15	6						
3.0	-12.0	128.0	3	8	9	5	9	5	5		
-4.0	-11.0	100.0	4	4	13	7	10	28	3	13	3
-2.0	-11.0	128.0	1	15	3						
0.0	-11.0	180.0	2	7	6	20	3				
2.0	-11.0	128.0	2	17	3	14	3				
4.0	-11.0	100.0	3	5	14	6	12	16	2		
-5.0	-10.0	81.0	1	4	7						
-3.0	-10.0	100.0	1	10	7						
-1.0	-10.0	128.0	2	14	6	4	6				
1.0	-10.0	128.0	4	5	13	12	7	12	6	11	3
3.0	-10.0	100.0	2	5	8	7	3				
5.0	-10.0	81.0	3	4	11	12	7	23	3		
-6.0	-9.0	69.0	3	27	3	22	3	13	2		
-4.0	-9.0	81.0	4	10	7	7	7	9	6	11	4
-2.0	-9.0	100.0	1	9	6						
0.0	-9.0	128.0	1	4	12						
2.0	-9.0	100.0	3	14	7	14	2	8	2		
4.0	-9.0	81.0	4	5	12	6	9	11	5	19	3
6.0	-9.0	69.0	4	7	13	8	12	5	9	11	2
-7.0	-8.0	60.0	3	6	14	7	8	7	2		
-5.0	-8.0	69.0	4	4	13	6	5	20	3	16	2
-3.0	-8.0	81.0	1	5	8						
-1.0	-8.0	100.0	4	8	12	7	5	16	4	17	2
1.0	-8.0	100.0	1	12	8						
3.0	-8.0	81.0	4	6	12	12	7	17	4	31	3
5.0	-8.0	69.0	2	4	13	7	7				
7.0	-8.0	60.0	3	4	5	31	4	22	3		
-8.0	-7.0	52.0	1	7	10						
-6.0	-7.0	60.0	4	6	6	7	5	6	4	17	2
-4.0	-7.0	69.0	2	14	5	6	5				
-2.0	-7.0	81.0	3	6	8	4	6	9	3		
0.0	-7.0	100.0	2	25	3	12	3				
2.0	-7.0	81.0	3	6	11	13	3	30	2		
4.0	-7.0	69.0	4	8	5	25	4	9	4	30	3
6.0	-7.0	60.0	3	10	8	6	6	5	3		
8.0	-7.0	52.0	3	7	6	12	3	6	3		
-9.0	-6.0	47.0	4	5	13	5	12	10	4	29	2
-7.0	-6.0	52.0	4	14	6	8	4	31	3	8	3
-5.0	-6.0	60.0	2	6	7	22	3				
-3.0	-6.0	69.0	4	5	13	6	12	5	10	6	6
-1.0	-6.0	81.0	2	13	7	6	7				
1.0	-6.0	81.0	1	23	3						
3.0	-6.0	69.0	3	15	7	29	4	18	3		
5.0	-6.0	60.0	1	7	9						
7.0	-6.0	52.0	3	5	13	6	6	24	2		
9.0	-6.0	47.0	4	6	12	14	6	12	6	16	3
-10.0	-5.0	42.0	2	6	11	5	11				
-8.0	-5.0	47.0	4	5	10	8	6	8	4	30	3
-6.0	-5.0	52.0	2	8	13	26	2				
-4.0	-5.0	60.0	1	8	7						
-2.0	-5.0	69.0	2	8	6	5	6				
0.0	-5.0	81.0	3	8	10	11	8	6	8		
2.0	-5.0	69.0	2	4	6	30	2				
4.0	-5.0	60.0	1	14	3						
6.0	-5.0	52.0	2	4	5	13	3				
8.0	-5.0	47.0	2	7	7	14	3				
10.0	-5.0	42.0	1	28	4						
-11.0	-4.0	39.0	1	15	6						
-9.0	-4.0	42.0	3	13	7	26	3	20	3		
-7.0	-4.0	47.0	3	5	10	4	9	14	7		
-5.0	-4.0	52.0	4	6	8	4	7	22	3	17	3
-3.0	-4.0	60.0	1	16	5						
-1.0	-4.0	69.0	4	7	6	30	3	26	3	20	3
1.0	-4.0	69.0	3	6	8	5	6	10	5		
3.0	-4.0	60.0	3	4	7	14	5	16	3		
